id,descripcion,descripcion_equivalente,cbarras,cbarras_equivalente,cantidad_equivalente
427,LOFFYMIX CAJA 7 OVULOS 100/400 MG,LOFFYMIX CAJA 7 OVULOS 100/400 MG,7502211784272,7502211784272,1
428,DALAFAR CAJA CON 16 CAPSULAS 300 MG,DALAFAR CAJA CON 16 CAPSULAS 300 MG,7502223550919,7502223550919,1
429,DALAFAR CAJA CON 16 CAPSULAS 300 MG,DESTRALINA CAJA CON 16 CAPSULAS 300 MG,7502223550919,785120754247,1
430,DALAFAR CAJA CON 16 CAPSULAS 300 MG,TAMICLIN CAJA CON 16 CAPSULAS 300 MG,7502223550919,7501504020714,1
431,DALAFAR CAJA CON 16 CAPSULAS 300 MG,INDACIL 300 MG CAPS 16,7502223550919,7502009740558,1
432,DALAFAR CAJA CON 16 CAPSULAS 300 MG,CIGMADIL 16 CAPS 300MG      *A,7502223550919,780083142605,1
433,DALAFAR CAJA CON 16 CAPSULAS 300 MG,CLINDAMICINA 16 CAPS 300MG U*A,7502223550919,7502216793132,1
434,DALAFAR CAJA CON 16 CAPSULAS 300 MG,CLINDAMICINA 300MG CAP C16,7502223550919,7501349020788,1
435,CLINDAMICINA AMSA CAJA CON AMPULA 4 ML 600 MG,CLINDAMICINA AMSA CAJA CON AMPULA 4 ML 600 MG,7501349021013,7501349021013,1
436,CLINDAMICINA AMSA CAJA CON AMPULA 4 ML 600 MG,BIODACLIN CAJA CON AMPULA 4 ML 600 MG,7501349021013,7502003380354,1
437,CLINDAMICINA AMSA CAJA CON AMPULA 4 ML 600 MG,CLINDAMICINA INY 600MG/4ML C/5,7501349021013,7501349021044,5
438,CLINDAMICINA AMSA CAJA CON AMPULA 4 ML 600 MG,CLINDAMICINA INY 600MG/4M 1A*A,7501349021013,7502216802865,1
439,DALACIN T FRASCO SOLUCION TOPICA 30 ML 1G / 100 ML,DALACIN T FRASCO SOLUCION TOPICA 30 ML 1G / 100 ML,300093116016,300093116016,1
440,DALACIN T FRASCO SOLUCION TOPICA 30 ML 1G / 100 ML,CLIDETS SOL 1% 50ML,300093116016,7501390912742,1
441,DALACIN T FRASCO SOLUCION TOPICA 30 ML 1G / 100 ML,DALACIN T GEL 30G,300093116016,300093331020,1
442,DALATINA TUBO GEL 1G/100 G  30 GR,DALATINA TUBO GEL 1G/100 G  30 GR,785118752415,785118752415,1
443,DALATINA TUBO GEL 1G/100 G  30 GR,CLIDETS TUBO GEL 1G/100 G  30 GR,785118752415,7501390912728,1
444,TRIGINEX CAJA CON 3 OVULOS 100/80/0.5MG,TRIGINEX CAJA CON 3 OVULOS 100/80/0.5MG,7501871721344,7501871721344,1
445,CLIOQUINOL / HIDROCORTISONA SON´S TUBO 20 G CREMA  3/1 G,CLIOQUINOL / HIDROCORTISONA SON´S TUBO 20 G CREMA  3/1 G,7502001164321,7502001164321,1
446,CLIOQUINOL / HIDROCORTISONA SON´S TUBO 20 G CREMA  3/1 G,VIOFORMO-CORT TUBO 20 G CREMA  3/1 G,7502001164321,7501094911133,1
447,CLIOQUINOL / HIDROCORTISONA SON´S TUBO 20 G CREMA  3/1 G,CLIOQUINOL 3% CRA 20G,7502001164321,7503004908677,1
448,SEROPHENE CAJA CON 30 TABLETAS 50 MG,SEROPHENE CAJA CON 30 TABLETAS 50 MG,7730949049817,7730949049817,1
449,SEROPHENE CAJA CON 30 TABLETAS 50 MG,OMIFIN 50MG TAB C30,7730949049817,7501061010005,1
450,RIVOTRIL CAJA CON 30 COMPRIMIDOS 2 MG,RIVOTRIL CAJA CON 30 COMPRIMIDOS 2 MG,7501009007074,7501009007074,1
451,RIVOTRIL CAJA CON 30 COMPRIMIDOS 2 MG,KRIADEX C/30 2 MG *G2*,7501009007074,7501384502065,1
452,RIVOTRIL CAJA CON 30 COMPRIMIDOS 2 MG,RIVOTRIL TAB 2 MG C/30,7501009007074,7613326005081,1
453,RIVOTRIL FRASCO SOLUCION GOTAS 10 ML 2.5 MG/ML,RIVOTRIL FRASCO SOLUCION GOTAS 10 ML 2.5 MG/ML,7501009007111,7501009007111,1
454,RIVOTRIL FRASCO SOLUCION GOTAS 10 ML 2.5 MG/ML,RIVOTRIL FRASCO SOL GOTAS ,7501009007111,7613326005074,1
455,CATAPRESAN CAJA CON 30 COMPRIMIDOS  0.100 MG,CATAPRESAN CAJA CON 30 COMPRIMIDOS  0.100 MG,7501037910025,7501037910025,1
456,LONIXER  CAJA CON 10 TABLETAS 250MG,LONIXER  CAJA CON 10 TABLETAS 250MG,7501258203586,7501258203586,1
457,LONIXER  CAJA CON 10 TABLETAS 250MG,PRESTODOL 250MGC/10,7501258203586,7502003386127,1
458,CLOPIDOGREL ULTRA CAJA CON 28 TABLETAS 75 MG,CLOPIDOGREL ULTRA CAJA CON 28 TABLETAS 75 MG,7502216797086,7502216797086,1
459,CLOPIDOGREL ULTRA CAJA CON 28 TABLETAS 75 MG,CLOPIDOGREL SERRAL CAJA CON 28 TABLETAS 75 MG,7502216797086,7501258210997,1
460,CLOPIDOGREL ULTRA CAJA CON 28 TABLETAS 75 MG,PLAVIX CAJA CON 28 TABLETAS 75 MG,7502216797086,7501328980034,1
461,CLOPIDOGREL ULTRA CAJA CON 28 TABLETAS 75 MG,G CLOPIDOGREL 75MG TAB C28,7502216797086,7502209850316,1
462,CLOPIDOGREL ULTRA CAJA CON 28 TABLETAS 75 MG,CLOPIDROGEL 75MG C/28 TAB,7502216797086,7502216804784,1
463,CLOPIDOGREL ULTRA CAJA CON 28 TABLETAS 75 MG,CLOPIDOGREL 28 TABS 75MG,7502216797086,7501349025677,1
464,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,7502222840349,7502222840349,1
465,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,CLORANFENICOL FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML EXAKTA,7502222840349,7503000997927,1
466,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,CLONODIFEN SOL 1MG/ML FCO 5ML,7502222840349,7501471889659,0.33
467,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,CLORAMFENI OFT GTS 15ML,7502222840349,736085039603,1
468,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,CLORANFENICOL SOL OFT 15ML,7502222840349,7501349028753,1
469,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,FENICOL GTS.OFTAL.10 ML. (CLORANFENICOL),7502222840349,7502004401805,0.5
470,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,SOTAN SOL OFT 15ML           R,7502222840349,7502261160378,1
471,CLORANFENICOL ALVARTIS FRASCO SOLUCION GOTAS OFTALMICAS  15 ML 5MG/ML,CLORANFENICOL OFT GTS 15 ML    LGEN,7502222840349,75049645,1
472,TRANXENE CAJA CON 30 CAPSULAS 5MG,TRANXENE CAJA CON 30 CAPSULAS 5MG,7501328977157,7501328977157,1
473,ROSEL CAJA CON 24 CAPSULAS 3/50/300 MG,ROSEL CAJA CON 24 CAPSULAS 3/50/300 MG,7503003738404,7503003738404,1
474,ROSEL CAJA CON 24 CAPSULAS 3/50/300 MG,ROSEL CAJA CON 24 CAPSULAS 3/50/300 MG,7503003738404,7502240450377,1
475,ROSEL CAJA CON 24 CAPSULAS 3/50/300 MG,ROSEL CAJA CON 24 CAPSULAS 3/50/300 MG,7503003738404,7502240450742,1
476,ROSEL CAJA CON 24 CAPSULAS 3/50/300 MG,ANTIFLU DES CAP C24,7503003738404,7501088509773,1
477,ROSEL INFANTIL FRASCO SOLUCION 60 ML 0.020G/0.500G/3G,ROSEL INFANTIL FRASCO SOLUCION 60 ML 0.020G/0.500G/3G,7502240450230,7502240450230,1
478,ROSEL INFANTIL FRASCO SOLUCION 60 ML 0.020G/0.500G/3G,ANTIFLU DES JR SOL 60ML,7502240450230,7501088509766,1
479,BEXIDENT ENCIAS FRASCO SOLUCION 250 ML,BEXIDENT ENCIAS FRASCO SOLUCION 250 ML,8430206280296,8430206280296,1
480,KRYTAN TEK FRASCO SOLUCION OFTALMICA GOTERO 5ML 20MG/5MG/2MG,KRYTAN TEK FRASCO SOLUCION OFTALMICA GOTERO 5ML 20MG/5MG/2MG,736085905373,736085905373,1
481,CELUNAF FRASCO SOLUCION OFTALMICA 15 ML 0.5 / 2.2 / 10 MG 1ML,NAPHTEARS FRASCO SOLUCION OFTALMICA 0.12MG  15ML,´008400001481,7501088617355,1
482,CELUNAF FRASCO SOLUCION OFTALMICA 15 ML 0.5 / 2.2 / 10 MG 1ML,CELUNAF FRASCO SOLUCION OFTALMICA 15 ML 0.5 / 2.2 / 10 MG 1ML,´008400001481,´008400001481,1
483,PATANOL FRASCO SOLUCION OFTALMICA  2.5ML 0.2%,PATANOL FRASCO SOLUCION OFTALMICA  2.5ML 0.2%,7501088604058,7501088604058,1
484,LUTORAL CAJA CON 20 TABLETAS 2 MG,LUTORAL CAJA CON 20 TABLETAS 2 MG,7501049721114,7501049721114,1
485,LUTORAL-E CAJA CON 20 TABLETAS 2MG/80MCG,LUTORAL-E CAJA CON 20 TABLETAS 2MG/80MCG,7501049721176,7501049721176,1
486,AVAPENA CAJA CON 20 TABLETAS 25 MG,AVAPENA CAJA CON 20 TABLETAS 25 MG,7502216930414,7502216930414,1
487,AVAPENA CAJA CON 5 AMPULAS 2 ML 20MG/2ML,AVAPENA CAJA CON 5 AMPULAS 2 ML 20MG/2ML,7502216930599,7502216930599,1
488,ARALEN CAJA CON 30 TABLETAS 150 MG,ARALEN CAJA CON 30 TABLETAS 150 MG,7501328975436,7501328975436,1
489,INSOGEN PLUS CAJA CON 80 TABLETAS 125/513 MG,INSOGEN PLUS CAJA CON 80 TABLETAS 125/513 MG,7501390910984,7501390910984,1
490,HIDROPHARM CAJA CON 30 TABLETAS 50 MG,HIDROPHARM CAJA CON 30 TABLETAS 50 MG,7503003134664,7503003134664,1
491,KALIOLITE FRASCO 50 TABLETAS 500 MG,KALIOLITE FRASCO 50 TABLETAS 500 MG,7501298253008,7501298253008,1
492,HIPERTON FRASCO 10 ML SOLUCION  OFTALMICA  5 %,HIPERTON FRASCO 10 ML SOLUCION  OFTALMICA  5 %,8400000668,8400000668,1
493,ILIADIN AQUA FRASCO SOLUCION 30 ML 0.65/1 G/100 ML NASAL,ILIADIN AQUA FRASCO SOLUCION 30 ML 0.65/1 G/100 ML NASAL,7501298217253,7501298217253,1
494,ILIADIN AQUA FRASCO SOLUCION 30 ML 0.65/1 G/100 ML NASAL,NASALUB FRASCO SOLUCION 30 ML 0.65/1 G/100 ML NASAL ADULTO,7501298217253,650240015366,1
495,EURODERM TUBO CREMA VAGINAL 20 G 2%,EURODERM TUBO CREMA VAGINAL 20 G 2%,785118752873,785118752873,1
496,EURODERM TUBO CREMA VAGINAL 20 G 2%,LOMECAN V CRA VAG 20G,785118752873,650240011153,1
497,EURODERM TUBO CREMA VAGINAL 20 G 2%,CANESTEN V 2% CRA 20G,785118752873,7501318645080,1
498,NEUROFLAX CAJA CON 3 AMPULAS 4 ML 20 MG/4 MG,NEUROFLAX CAJA CON 3 AMPULAS 4 ML 20 MG/4 MG,7501165005624,7501165005624,1
499,NEUROFLAX CAJA CON 3 AMPULAS 4 ML 20 MG/4 MG,NEUROFLAX FRASCO SOLUCION AMPULA 4ML 20 MG/4MG,7501165005624,7501174603309,1
500,NEUROFLAX CAJA CON 3 AMPULAS 4 ML 20 MG/4 MG,NEUROFLAX SOL INY 3 AMP 4 ML,7501165005624,7501165005824,1
501,DARIBUR CAJA CON 12 SOBRES 389.4 / 1362.9 / 58.3 MG 2.2 GR.,DARIBUR CAJA CON 12 SOBRES 389.4 / 1362.9 / 58.3 MG 2.2 GR.,748499089143,748499089143,1
502,DARIBUR CAJA CON 12 SOBRES 389.4 / 1362.9 / 58.3 MG 2.2 GR.,DALIDOME PVO 2.2G SOB C12,748499089143,7501258200011,1
503,HYDERGINA CAJA CON 12 COMPRIMIDOS 4.5 MG,HYDERGINA CAJA CON 12 COMPRIMIDOS 4.5 MG,7501124851903,7501124851903,1
504,TICOLCIN CAJA CON 30 TABLETAS 1 MG,TICOLCIN CAJA CON 30 TABLETAS 1 MG,7501471888867,7501471888867,1
505,TICOLCIN CAJA CON 30 TABLETAS 1 MG,COLCHIQUIM 1MG C/20 TAB,7501471888867,7501109762446,1
506,TICOLCIN CAJA CON 30 TABLETAS 1 MG,COLCHICINA 1MG. 30 TAB,7501471888867,7501573900368,1
507,TICOLCIN CAJA CON 30 TABLETAS 1 MG,G COLCHICINA 1MG TAB C30,7501471888867,7501573900351,1
508,TICOLCIN CAJA CON 30 TABLETAS 1 MG,COLCHICINA 1MG C/30 TABLETAS,7501471888867,7501109753437,1
509,TICOLCIN CAJA CON 30 TABLETAS 1 MG,COLCHICINA IMG C/30,7501471888867,7501109733477,1
510,QUESTRAN CAJA CON 10 SOBRES DE 4 G/ 4.68G,QUESTRAN CAJA CON 10 SOBRES DE 4 G/ 4.68G,7501233295513,7501233295513,1
511,QUESTRAN CAJA CON 10 SOBRES DE 4 G/ 4.68G,QUESTRAN CAJA CON 10 SOBRES DE 4 G/ 9G,7501233295513,7501095435027,1
512,COLMESDANT FRASCO AMPULA DE 150 MG,COLMESDANT FRASCO AMPULA DE 150 MG,7501701400081,7501701400081,1
513,OSSOPAN CAJA CON 36 TABLETAS 200 MG,OSSOPAN CAJA CON 36 TABLETAS 200 MG,7501092780014,7501092780014,1
514,HUMYLUB OFTENO FRASCO SOLUCION 15 ML 1.8MG / 1.0MG  1 ML,HUMYLUB OFTENO FRASCO SOLUCION 15 ML 1.8MG / 1.0MG  1 ML,736085405668,736085405668,1
515,ALERCROM FRASCO SOLUCION NASAL 4% 10 ML,ALERCROM FRASCO SOLUCION NASAL 4% 10 ML,8400000248,8400000248,1
516,ALERCROM FRASCO SOLUCION NASAL 4% 10 ML,ALERCROM 4% SOL 5ML,8400000248,8400000774,0.5
517,ACOMEXOL TUBO CREMA 30 G 10 %,ACOMEXOL TUBO CREMA 30 G 10 %,7501089810045,7501089810045,1
518,ACOMEXOL TUBO CREMA 30 G 10 %,EURAX TUBO CREMA 30 G 10 %,7501089810045,7501124812591,1
519,NOVAPRIN CAJA CON 50 TABLETAS 100 MG,NOVAPRIN CAJA CON 50 TABLETAS 100 MG,7501075713794,7501075713794,1
520,NOVAPRIN CAJA CON 50 TABLETAS 100 MG,NOVAPRIN CAJA CON 50 TAB 100 MG,7501075713794,7501075722727,1
521,DAPSODERM X FRASCO CON 50 TABLETAS 100 MG,DAPSODERM X FRASCO CON 50 TABLETAS 100 MG,7501273500042,7501273500042,1
522,CUBICINE CAJA CON FRASCO AMPULA VIAL  500 MG.,CUBICINE CAJA CON FRASCO AMPULA VIAL  500 MG.,7501094917067,7501094917067,1
523,DEFLAZACORT ULTRA CAJA CON 10 TABLETAS 30 MG,DEFLAZACORT ULTRA CAJA CON 10 TABLETAS 30 MG,7502216796683,7502216796683,1
524,DEFLAZACORT ULTRA CAJA CON 10 TABLETAS 30 MG,CALCORT CAJA CON 10 TABLETAS 30 MG,7502216796683,7501061002307,1
525,DEFLAZACORT ULTRA CAJA CON 10 TABLETAS 30 MG,DEFLAZACORT 30MG 10 TABS AMSA,7502216796683,7501349013223,1
526,DEFLAZACORT ULTRA CAJA CON 10 TABLETAS 30 MG,DEFLAZACORT 30MG 10 TABS AMSA**,7502216796683,7501349024205,1
527,DEFLAZACORT AMSA CAJA CON 20 TABLETAS 6 MG,DEFLAZACORT AMSA CAJA CON 20 TABLETAS 6 MG,7501349017122,7501349017122,1
528,DEFLAZACORT AMSA CAJA CON 20 TABLETAS 6 MG,CALCORT CAJA CON 20 TABLETAS 6 MG,7501349017122,7501061002109,1
529,SENSIDEX FRASCO SOLUCION 120 ML 50 MG,SENSIDEX FRASCO SOLUCION 120 ML 50 MG,7501299308790,7501299308790,1
530,SENSIDEX FRASCO SOLUCION 120 ML 50 MG,HISTAPHARM FRASCO JARABE 120 ML 50 MG,7501299308790,7502223112452,1
531,SENSIDEX FRASCO SOLUCION 120 ML 50 MG,AVIANT 50MG JBE 120ML,7501299308790,7501050607018,1
532,SENSIDEX FRASCO SOLUCION 120 ML 50 MG,VALGAB FRASCO JARABE ,7501299308790,7501573907701,1
533,MINIRIN CAJA CON 30 TABLETAS 0.2 MG,MINIRIN CAJA CON 30 TABLETAS 0.2 MG,7503000883060,7503000883060,1
534,MINIRIN FRASCO SOLUCION  ATOMIZADOR NASAL 2.5 ML 25 DOSIS 89MCG/ML,MINIRIN FRASCO SOLUCION  ATOMIZADOR NASAL 2.5 ML 25 DOSIS 89MCG/ML,7503000883022,7503000883022,1
535,CERAZETTE CAJA CON 28 TABLETAS 75 MCG,CERAZETTE CAJA CON 28 TABLETAS 75 MCG,7501409201096,7501409201096,1
536,PRISTIQ CAJA CON 14 TABLETAS 100 MG,PRISTIQ CAJA CON 14 TABLETAS 100 MG,7501108767916,7501108767916,1
537,ALIN CAJA CON 30 TABLETAS 0.5 MG,ALIN CAJA CON 30 TABLETAS 0.5 MG,7501088505607,7501088505607,1
538,ALIN CAJA CON 30 TABLETAS 0.5 MG,DIBASONA CAJA CON 30 TABLETAS 0.5 MG,7501088505607,7501644701955,1
539,ALIN CAJA CON 30 TABLETAS 0.5 MG,DIBASONA CAJA CON 30 TAB 0.5 MG,7501088505607,7501644791956,1
540,ALIN CAJA CON 30 TABLETAS 0.5 MG,DIBASONA 0.5MG C/30 TAB,7501088505607,7501640701955,1
541,LEVODEXAN FRASCO SOLUCION GOTAS 10 ML 76/200 MG / 100 ML,LEVODEXAN FRASCO SOLUCION GOTAS 10 ML 76/200 MG / 100 ML,8400000347,8400000347,1
542,BEXINE FRASCO AMPULA  8MG 2 ML,BEXINE FRASCO AMPULA  8MG 2 ML,780083141516,780083141516,1
543,BEXINE FRASCO AMPULA  8MG 2 ML,ALIN AMP 2ML C1,780083141516,7501088505003,1
544,BEXINE FRASCO AMPULA  8MG 2 ML,DEXAMETASONA 8MG AMP 1X2,780083141516,7501349027329,1
545,BIODEXAN FRASCO SOLUCION GOTAS OFTALMICAS  5 ML 1MG/1.5MG/ 3.5MG/16250 U/1 ML,BIODEXAN FRASCO SOLUCION GOTAS OFTALMICAS  5 ML 1MG/1.5MG/ 3.5MG/16250 U/1 ML,736085020946,736085020946,1
546,ALIN DEPOT FRASCO AMPULA 2 ML SUSPENSION 8 MG,ALIN DEPOT FRASCO AMPULA 2 ML SUSPENSION 8 MG,7501088505157,7501088505157,1
547,ALIN DEPOT FRASCO AMPULA 2 ML SUSPENSION 8 MG,DEXAMETASONA AI 8MG/2ML PISA,7501088505157,7501125163142,1
548,STADIUM CAJA CON 10 TABLETAS 25 MG,STADIUM CAJA CON 10 TABLETAS 25 MG,7501070635756,7501070635756,1
549,STADIUM  CAJA CON 3 AMPULAS  50 MG 2ML,STADIUM  CAJA CON 3 AMPULAS  50 MG 2ML,7501070635763,7501070635763,1
550,DEBEQUIN FRASCO JARABE 120 ML  300MG/100ML,DEBEQUIN FRASCO JARABE 120 ML  300MG/100ML,7501825300076,7501825300076,1
551,DEBEQUIN FRASCO JARABE 120 ML  300MG/100ML,DEBEQUIN FRASCO JARABE 120 ML  300MG/100ML,7501825300076,7501825300071,1
552,DEBEQUIN FRASCO JARABE 120 ML  300MG/100ML,BRUDEX 300MG/100ML,7501825300076,7501537101961,1
553,DEBEQUIN FRASCO JARABE 120 ML  300MG/100ML,DONTUXIN JARABE 120ML,7501825300076,7502006923565,1
554,COBADEX FRASCO JARABE 120 ML 225/225 MG/100ML,COBADEX FRASCO JARABE 120 ML 225/225 MG/100ML,7502009740268,7502009740268,1
555,DIMACOL FRASCO SOLUCION GOTAS PEDIATRICAS 60 ML 200/2000/100 MG / 100 ML,DIMACOL FRASCO SOLUCION GOTAS PEDIATRICAS 60 ML 200/2000/100 MG / 100 ML,7501108765561,7501108765561,1
556,ORTOPSIQUE CAJA CON 20 TABLETAS 10 MG,ORTOPSIQUE CAJA CON 20 TABLETAS 10 MG,7501384502058,7501384502058,1
557,ORTOPSIQUE CAJA CON 20 TABLETAS 10 MG,VALIUM 10MG CPR C20,7501384502058,7501009009269,1
558,SEDICLON CAJA CON 30 TABLETAS 10 MG,SEDICLON CAJA CON 30 TABLETAS 10 MG,7501825300786,7501825300786,1
559,SEDICLON CAJA CON 30 TABLETAS 10 MG,BENTYL CAP 30,7501825300786,7501061001003,1
560,CALAFFLER FRASCO SUSPENSION GOTAS 20 ML 15 MG/ ML,CALAFFLER FRASCO SUSPENSION GOTAS 20 ML 15 MG/ ML,7502211784180,7502211784180,1
561,ORMOFEN CAJA CON 20 TABLETAS LIBERACION PROLONGADA 100 MG,ORMOFEN CAJA CON 20 TABLETAS LIBERACION PROLONGADA 100 MG,7501385494932,7501385494932,1
562,ORMOFEN CAJA CON 20 TABLETAS LIBERACION PROLONGADA 100 MG,NEDICLON CAJA CON 20 TABLETAS LIBERACION PROLONGADA 100 MG,7501385494932,7501537102845,1
563,ORMOFEN CAJA CON 20 TABLETAS LIBERACION PROLONGADA 100 MG,DICLOFENACO 100MG C/20 GRAG,7501385494932,7502216793347,1
564,ORMOFEN CAJA CON 20 TABLETAS LIBERACION PROLONGADA 100 MG,ARIFLAM C20 TAB 100MG,7501385494932,7502216802964,1
565,ORMOFEN CAJA CON 20 TABLETAS LIBERACION PROLONGADA 100 MG,G DICLOFENACO 100MG GRAG C20,7501385494932,7502216802919,1
566,ORMOFEN CAJA CON 20 TABLETAS LIBERACION PROLONGADA 100 MG,DICLOFENACO 100MG T20,7501385494932,7502216803862,1
567,DICLOFENACO OFTALMICO AMSA FRASCO SOLUCION GOTAS 5 ML 1MG / ML,DICLOFENACO OFTALMICO AMSA FRASCO SOLUCION GOTAS 5 ML 1MG / ML,7501349027923,7501349027923,1
568,DICLOFENACO OFTALMICO AMSA FRASCO SOLUCION GOTAS 5 ML 1MG / ML,FLANKOL FRASCO SOLUCION GOTAS 5 ML 1MG/ML,7501349027923,7503000997378,1
569,DICLOFENACO OFTALMICO AMSA FRASCO SOLUCION GOTAS 5 ML 1MG / ML,3A OFT GTS 5ML,7501349027923,736085400892,1
570,DICLOXACILINA AMSA FRASCO AMPULA 500 MG 5 ML,DICLOXACILINA AMSA FRASCO AMPULA 500 MG 5 ML,7501349021099,7501349021099,1
571,DICLOXACILINA AMSA FRASCO AMPULA 500 MG 5 ML,POSIPEN 500MG INY C1,7501349021099,7501070634872,1
572,AMIFARIN FRASCO C/ POLVO P/ SUSPENSION 60 ML 125 MG/5ML,AMIFARIN FRASCO C/ POLVO P/ SUSPENSION 60 ML 125 MG/5ML,7503001007083,7503001007083,1
573,AMIFARIN FRASCO C/ POLVO P/ SUSPENSION 60 ML 125 MG/5ML,POSIPEN PED 125MG SUSP 90ML,7503001007083,7501070634933,1
574,AMIFARIN FRASCO C/ POLVO P/SUSPENSION 60 ML 250 MG/5ML,AMIFARIN FRASCO C/ POLVO P/SUSPENSION 60 ML 250 MG/5ML,7503001007090,7503001007090,1
575,AMIFARIN FRASCO C/ POLVO P/SUSPENSION 60 ML 250 MG/5ML,DICLOXACILINA SUSP 250MG/5ML 60ML,7503001007090,7501385491276,1
576,AMIFARIN FRASCO C/ POLVO P/SUSPENSION 60 ML 250 MG/5ML,POSIPEN SUSP 90ML 250MG,7503001007090,7501070634698,1
577,AMIFARIN FRASCO C/ POLVO P/SUSPENSION 60 ML 250 MG/5ML,BUTIMAXIL DICLOXA GI 250MG/60M,7503001007090,7502208891907,1
578,DICLOXACILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,DICLOXACILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,7501385490866,7501385490866,1
579,DICLOXACILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,DICLOXACILINA 500MG C/20 CAP,7501385490866,7501349021075,1
580,DICLOXACILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,DICLOXACILINA 12 CAPS 500MG *A,7501385490866,7501349021778,1
581,DICLOXACILINA HORMONA CAJA CON 12 CAPSULAS 500 MG,AMIFARIN 500MG CAP C12,7501385490866,7503001007106,1
582,AMIFARIN CAJA CON 20 CAPSULAS 250 MG,AMIFARIN CAJA CON 20 CAPSULAS 250 MG,7503001007298,7503001007298,1
583,BENADRYL E FRASCO JARABE 150 ML 0.28/2.0 G/100ML,BENADRYL E FRASCO JARABE 150 ML 0.28/2.0 G/100ML,7501057005732,7501057005732,1
584,DIFENIDOL AMSA CAJA CON 2 AMPULAS 2ML 40MG,DIFENIDOL AMSA CAJA CON 2 AMPULAS 2ML 40MG,7501349028982,7501349028982,1
585,DIFENIDOL AMSA CAJA CON 2 AMPULAS 2ML 40MG,VONTROL 40MG INY AMP 2X2ML,7501349028982,7501070635718,1
586,DIFENIDOL AMSA CAJA CON 2 AMPULAS 2ML 40MG,DIFENIDOL A2,7501349028982,7502223702639,1
587,DIFENIDOL AMSA CAJA CON 2 AMPULAS 2ML 40MG,DIFENIDOL 2 AMPOLLETAS 2ML 40MG/2ML,7501349028982,7501125155352,1
588,DIFENIDOL AMSA CAJA CON 2 AMPULAS 2ML 40MG,DIFENIDOL SOL INY 40MG/2ML C/2,7501349028982,7501385491245,1
589,DIFENIDOL AMSA CAJA CON 2 AMPULAS 2ML 40MG,DIFENIDOL SOL INY 40MG/2ML C/2,7501349028982,7502001162549,1
590,RAAMFEN CAJA CON 30 TABLETAS 25 MG,RAAMFEN CAJA CON 30 TABLETAS 25 MG,7502227871416,7502227871416,1
591,RAAMFEN CAJA CON 30 TABLETAS 25 MG,DIFENIDOL ELI 25MG TAB C30,7502227871416,7502225096149,1
592,VALVULAN CAJA CON 60 TABLETAS 0.25 MG,VALVULAN CAJA CON 60 TABLETAS 0.25 MG,7501089803221,7501089803221,1
593,VALVULAN CAJA CON 60 TABLETAS 0.25 MG,LANOXIN TAB C60,7501089803221,7501046434055,1
594,VALVULAN CAJA CON 60 TABLETAS 0.25 MG,LANOXIN 0.25 C/60 TAB,7501089803221,7501046435055,1
595,VALVULAN ELIXIR FRASCO SOLUCION GOTAS 60 ML 0.005G/100ML,VALVULAN ELIXIR FRASCO SOLUCION GOTAS 60 ML 0.005G/100ML,7501089803238,7501089803238,1
596,TONOPAN CAJA CON 30 GRAGEAS 0.5/40/125 MG,TONOPAN CAJA CON 30 GRAGEAS 0.5/40/125 MG,7501124855932,7501124855932,1
597,ANGIOTROFIN A.P. CAJA CON 20 TABLETAS DE LIBERACION PROLONGADA 120 MG,ANGIOTROFIN A.P. CAJA CON 20 TABLETAS DE LIBERACION PROLONGADA 120 MG,7501089802040,7501089802040,1
598,ANGIOTROFIN A.P. CAJA CON 20 TABLETAS DE LIBERACION PROLONGADA 120 MG,DASAV CAJA CON 20 CAPSULAS DE LIBERACION PROLONGADA 120 MG,7501089802040,656599040325,1
599,DILTIAZEM CAJA CON 30 TABLETAS 30 MG,DILTIAZEM CAJA CON 30 TABLETAS 30 MG,7501258203609,7501258203609,1
600,ANGIOTROFIN CAJA CON 30 COMPRIMIDOS 60 MG,ANGIOTROFIN CAJA CON 30 COMPRIMIDOS 60 MG,7501089802026,7501089802026,1
601,VOMISIN CAJA CON 20 TABLETAS 50 MG,VOMISIN CAJA CON 20 TABLETAS 50 MG,7502003388107,7502003388107,1
